chunk,embedding_index
"When, at the Battle of Philippi in 42 bce, Caesar’s assassins were routed, Mark Antony became the heir apparent of Caesar’s authority—or so it seemed, for Caesar’s great-nephew and personal heir, Octavian, was but a sickly boy. Antony, now controller of Rome’s eastern territories, sent for Cleopatra so that she might explain her role in the aftermath of Caesar’s assassination. She set out for Tarsus in Asia Minor loaded with gifts, having delayed her departure to heighten Antony’s expectation. She entered the city by sailing up the Cydnus River in a barge while dressed in the robes of the new Isis. Antony, who equated himself with the god Dionysus, was captivated. Forgetting his wife, Fulvia, who in Italy was doing her best to maintain her husband’s interests against the growing menace of young Octavian, Antony returned to Alexandria, where he treated Cleopatra not as a “protected” sovereign but as an independent monarch. In Alexandria, Cleopatra and Antony formed a society of “inimitable livers” whose members lived what some historians have interpreted as a life of debauchery and folly and others have interpreted as lives dedicated to the cult of the mystical god Dionysus. In 40 bce Cleopatra gave birth to twins, whom she named Alexander Helios and Cleopatra Selene. Antony had already left Alexandria to return to Italy, where he was forced to conclude a temporary settlement with Octavian. As part of this settlement, he married Octavian’s sister, Octavia (Fulvia having died). Three years later Antony was convinced that he and Octavian could never come to terms. His marriage to Octavia now an irrelevance, he returned to the east and reunited with Cleopatra.",83
"Antony needed Cleopatra’s financial support for his postponed Parthian campaign; in return, Cleopatra requested the return of much of Egypt’s eastern empire, including large portions of Syria and Lebanon and even the rich balsam groves of Jericho. The Parthian campaign was a costly failure, as was the temporary conquest of Armenia. Nevertheless, in 34 bce Antony celebrated a triumphal return to Alexandria. This was followed by a celebration known as “the Donations of Alexandria.” Crowds flocked to the Gymnasium to see Cleopatra and Antony seated on golden thrones on a silver platform with their children sitting on slightly lower thrones beside them. Antony proclaimed Caesarion to be Caesar’s son—thus relegating Octavian, who had been adopted by Caesar as his son and heir, to legal illegitimacy. Cleopatra was hailed as queen of kings, Caesarion as king of kings. Alexander Helios was awarded Armenia and the territory beyond the Euphrates, his infant brother Ptolemy the lands to the west of it. The boys’ sister, Cleopatra Selene, was to be ruler of Cyrene. It was clear to Octavian, watching from Rome, that Antony intended his extended family to rule the civilized world. A propaganda war erupted. Octavian seized Antony’s will (or what he claimed to be Antony’s will) from the temple of the Vestal Virgins, to whom it had been entrusted, and revealed to the Roman people that not only had Antony bestowed Roman possessions on a foreign woman but intended to be buried beside her in Egypt. The rumour quickly spread that Antony also intended to transfer the capital from Rome to Alexandria. Tawfiq moved to Alexandria for fear of his own safety as army officers led by Ahmed Urabi began to take control of the government.",84
"By June Egypt was in the hands of nationalists opposed to European domination of the country. The naval bombardment of Alexandria by the Royal Navy had little effect on the opposition which led to the landing of a British expeditionary force at both ends of the Suez Canal in August 1882. The British succeeded in defeating the Egyptian Army at Tel El Kebir in September and took control of the country putting Tawfiq back in control. The purpose of the invasion had been to restore political stability to Egypt under a government of the Khedive and international controls which were in place to streamline Egyptian financing since 1876. It is unlikely that the British expected a long-term occupation from the outset. However, Lord Cromer, Britain's Chief Representative in Egypt at the time, viewed Egypt's financial reforms as part of a long-term objective. Cromer took the view that political stability needed financial stability, and embarked on a programme of long-term investment in Egypt's productive resources, above all in the cotton economy, the mainstay of the country's export earnings. In 1906 the Denshawai incident provoked a questioning of British rule in Egypt. British administration ended nominally with the establishment of a protectorate and the installation of sultan Hussein Kamel in 1914, but a British military presence in Egypt lasted until June 1956. In 1914 as a result of the declaration of war with the Ottoman Empire, of which Egypt was nominally a part, Britain declared a Protectorate over Egypt and deposed the anti-British Khedive, Abbas Hilmi II, replacing him with his uncle Husayn Kamel, who was made Sultan of Egypt by the British. Egypt subsequently declared its independence from the Ottoman Empire. A group known as the Wafd Delegation attended the Paris Peace Conference of 1919 to demand Egypt's independence.",85
"Included in the group was political leader, Saad Zaghlul, who would later become prime minister. When the group was arrested and deported to the island of Malta, a huge uprising occurred in Egypt. It’s the year 2490 B.C. Wooden boats cruise along the Nile River in Egypt as thousands of workers stack giant stone blocks into a pyramid. This 200-foot-tall structure honors a pharaoh named Menkaure. This pharaoh’s father, Khafre, ordered construction of a 450-foot-high pyramid nearby, and his grandfather Khufu built the Great Pyramid at Giza—the largest of the three—at about 480 feet. Covered in polished white limestone, the pyramids seem to glow in the sunlight. The Egyptians working on the pyramids are helping create a culture that will last more than 3,000 years—it will be one of the longest-lasting civilizations in the world. During that time, ancient Egyptians created works of art and engineering that still amaze us today. People settled in Egypt as early as 6000 B.C. Over time, small villages joined together to become states until two kingdoms emerged: Lower Egypt, which covers the Nile River Delta up to the Mediterranean Sea in the north, and Upper Egypt, which covers the Nile Valley in the south. (The Nile River flows from south to north, so for the ancient Egyptians, the southern part of the country was ""up."") When he died, Seti I (1290-1279 BCE) took the throne and continued the reformation and revitalization of Egypt, adding his own touches to the grand project at Karnak and grooming his successor for rule.",86
"His son, Ramesses II (known as The Great, 1279-1213 BCE) is the best known pharaoh of Egypt in the modern day because of his long association with the unnamed Egyptian ruler in the biblical Book of Exodus and his depiction in film adaptations of that story. The actual Ramesses II was not the pharaoh of the Exodus story and there are a number of very strong arguments clarifying this. Among them is the fact that, more than any other pharaoh in history, Ramesses II documented his reign thoroughly. This king left more monuments and inscriptions behind than any other and yet nowhere in any of these is there any mention of Hebrew slaves, plagues, or the mass migration of upwards of 600,000 people from Egypt. Ramesses II famously defeated the the Hittites at the Battle of Kadesh in 1274 BCE, a feat he was most proud of (although the battle was more of a draw), and signed the world's first peace treaty. He also stopped an invasion by the Sea Peoples and secured the country against further attacks. He is routinely depicted as a great hunter and warrior-king, an image he encouraged, even though he led few, if any, campaigns after Kadesh. Egypt flourished under the reign of Ramesses II. He erected so many monuments and left so many inscriptions that there is no ancient site in the country which does not bear some mention of his name. In an effort, perhaps, to secure the northern regions of the country he moved the capital from Thebes to a new city he built at Avaris called Per-Ramesses (also known as Per-Ramesu) which he divided into quarters each dedicated to a god, two Egyptian deities and two Asiatic, suggesting he was trying to blend Egyptian culture with that of Syria-Palestine.",87
"Whatever his motivation in moving the capital, it would later prove a mistake in that it allowed the priests of the Cult of Amun at Thebes to consolidate power to the point where they would rival the pharaohs. Ramesses II lived to be 96 years old and, when he died, his people could not remember a time when he had not been king. His death caused wide-spread panic among the populace who were facing a future without Ramesses II as king. He was succeeded by his son Merenptah (1213-1203 BCE) who was almost 60 years old when he came to power. Merenptah was the thirteenth son of Ramesses II and was not his chosen successor. He only became pharaoh because all of his brothers had died in the course of their father's long life and reign. Merenptah quickly aligned himself with his father's image as warrior king defeating the Libyans in battle and driving back an invasion of the Sea Peoples. His account of his campaigns includes the famous Merenptah Stele which provides the first mention of the people of Israel as a tribe. Brewers were also highly respected, and breweries were sometimes run by women. In early Egyptian history, in fact, they seem to have been entirely operated by females. Beer was the most popular drink in ancient Egypt and was frequently used as compensation (wine was never that popular except among royalty). Workers at the Giza plateau were given a beer ration three times a day. The beverage was thought to have been given to the people by the god Osiris, and breweries were presided over by the goddess Tenenet.",88
"Beer was taken very seriously by the Egyptians as the Greek pharaoh Cleopatra VII (69-30 BCE) learned when she imposed a beer tax; her popularity plummeted more for this one tax than for her wars with Rome. The lower class could also find opportunity through work in metals, gems, and sculpting. The exquisite jewelry of ancient Egypt, gems mounted delicately in ornate settings, was created by members of the peasantry. These people, the majority of the Egyptian population, also filled the ranks of the army, and in rare cases, could become scribes. One's job and position in society, however, was usually handed down to one's son. These artists were responsible for creating the furnishings for the lavish palaces, upper-class homes, and temples of Egypt as well as the tombs which were considered a person's eternal home. The king, his queen, and family lived in a palace which was richly decorated and had their needs tended to by servants. Scribes lived in or near the mortuary or temple complexes in special apartments and worked from scriptoriums while, as noted, nomarchs lived in greater or lesser accommodations according to their level of success. The peasants who provided the food for the upper classes also helped build their homes and supply them with chests, drawers, chairs, tables, and beds while they themselves could not afford any of these things. Nardo writes: After a hard day's work, the farmers returned to their houses, which stood near the fields or in small rural villages located nearby. An average agricultural peasant's house featured walls made of mud bricks. The ceiling was fashioned from bundles of plant stems, and the floors consistend of hard-beaten earth covered by a layer of straw or mats made from reeds.",89
"There were one or two rooms (perhaps occasionally three) in which the farmer and his wife and children (if any) lived. In many cases, the stabled some or all of their farm animals in the same rooms. Because such modest homes lacked bathrooms, the residents had to use an outside latrine (a hole in the ground) to relieve themselves. Needless to say, water had to be hauled in buckets from the river or the nearest hand-dug well. (13) By contrast, the palace of the pharaoh Amenhotep III (1386-1353 BCE), known as Malkata today, covered over 30,000 square meters (30 hectares) and included spacious apartments, conference rooms, audience chambers, a throne room and receiving hall, a festival hall, libraries, gardens, storerooms, kitchens, a harem, and a temple to the god Amun. The palace's outer walls were painted bright white while the interior colors were vibrant blues and yellows and greens. In her role as part of the divine couple, Nefertiti may also have been co-regent. Akhenaten joined his cartouche (his seal) with hers as a sign of equality and there is evidence that she took on the traditional duties of pharaoh while her husband busied himself with theological reformation and architectural renovations. Images which have survived depict her officiating at religious services, receiving foreign dignitaries, moderating diplomatic meetings, and even in the traditional royal role of the king smiting the enemies of Egypt. None of these images would have been created if there were not some truth behind the stories they depict and so Nefertiti must have wielded more power than any woman in Egypt since the time of Hatshepsut (1479-1458 BCE). From the royal palace at Akhetaten, she sent forth the royal decrees and made the decisions which, according to tradition, were the responsibility of her husband.",90
"Around the year 14 of Akhenaten and Nefertiti's reign, their daughter Mekitaten died in childbirth at the age of 13. An image in relief from the time shows the couple standing over their daughter's body in mourning. Shortly after this, Nefertiti vanishes from the historical record. There have been many theories offered to explain her abrupt disappearance and, among these are: Of these theories, none of them can be substantiated but the fourth, and even that, many argue, is uncertain. The leading proponent of the Nefertiti-as-Smenkhkare theory is Zahi Hawass who writes: This king [Smenkhkare] is shown as a male in the company of Meritaten as `his' queen; however, his throne name was virtually identical to that of Akhenaten's coregent, now convincingly identified as Nefertiti. Whether this king was Nefertiti herself or an otherwise unattested son of Akhenaten's (or Amenhotep III's) he or she died only two years after ascending the throne, and left Egypt in the hands of a young boy named Tutankhaten [later Tutankhamun]. (47) The problems with the other theories are that Akhenaten already had a male heir in Tutankhamun and so would not have deserted his wife on that account (theory one); there is no evidence to support Nefertiti leaving the cult of Aten (theory two); she was still living after the death of her daughter and the throne name of Akhenaten's successor is the same as hers (theory three). The reason why theory two has long remained popular is because of evidence that the worship of the old gods began to revive toward the end of Akhenaten's reign and, it is thought, this could not have happened without some kind of royal support or encouragement.",91
"Schoch and West contend, then, that the face is not Khafre's, the dating of the sculpture is completely wrong, and all assertions made based upon such dating need to be revised. They are countered by Egyptologists such as Mark Lehner who point to the similarities between the face of the Sphinx and Khafre's statuary and how the erosion patterns on the statue have nothing to do with its age; if such erosion took place on the Giza plateau it would not be restricted to a single monument. This particular debate on the Sphinx is ongoing. Writers Robert and Olivia Temple claim that not only is the face of the Sphinx not Khafre's, it is not even the original face of the statue. The head of the Sphinx is notably out of proportion to the rest of the body; it is significantly smaller. The Temples argue that this is because the Sphinx was not carved in the 4th Dynasty under Khafre but centuries earlier and was not originally a lion but the jackal god Anubis. According to this theory, the great statue was Anubis who traditionally guarded over a necropolis and such a statue would certainly fit the location the Sphinx occupies at Giza. In the 4th century, the Temples claim, the statue was re-carved to depict a lion with a king's head because the lion was a popular figure in zoolatry (the worship of animals) at the time. The kind of anthropomorphism the Sphinx represents was clearly established by the 4th Dynasty but it is unclear how far back in Egyptian civilization it was observed or how it developed. Egyptologist Rosalie David notes how ""there are no extant literary sources which throw light on either the predynastic practice of zoolatry or anthropomorphism which occurred c. 3000-c. 2800 BCE.",92
"We can only speculate about the reasons for these developments"" (53). David comments further on depictions of the gods in general and the Sphinx in particular, writing: The forms and dress of the gods were always shown in a fairly uniform manner, providing no indication of the historical date of the figure; the god's individuality or particular function was represented by his distinctive headwear or animal head. A reversed example of the mixture of animal and human features occurs in later periods, in the form of the sphinx, where a human head is placed on an animal body. Whenever animal and human features were united in one body, any details which might appear ludicrous or grotesque, such as the place where the head and the body joined, were masked: in this instance, the neck area was concealed with the lappets of the headdress. (53) The Temples would disagree with this assessment as they claim the head of the Sphinx was re-carved and thereby diminished from the larger head of Anubis. The lappets of the headdress would then not have been utilized to conceal the neck area but simply to make use of the stone of the original head and also, of course, to remain in keeping with the depiction of an Egyptian king of the period. Robert Temple also claims that the face is not Khafre's but that of Amenemhat II (c. 1929-1895 BCE) based on the style of the stripes on the headcloth of the Sphinx which he says are distinctive of the 12th Dynasty of the Middle Kingdom. Among the reasons mainstream scholars reject these claims is that they are largely speculative.",93
"There is no evidence in any form that the Sphinx once had a different head and the difference in proportion between the head and the body of the Sphinx can be explained easily by the amount of stone the quarrymen had to work with and their process: the body of the Sphinx was carved first and the head last. The head was made smaller either because there was not enough stone or for greater stability. Geologist Colin Reader refutes that argument by noting that the ancient Egyptians were masters in stonework and could not possibly have miscalculated in carving the Sphinx nor would they have shrunk the head out of proportion with the body for the sake of stability. There are plenty of other monuments, he notes, in perfect proportion, which have stood the test of time. Reader contends, along the lines of the Temples, that the Sphinx originally had a different head but claims it was a lioness, not Anubis. He supports his claim, in part, through a sphinx statue in the Cairo Museum which he interprets as having previously been that of a lioness which had its ears hacked off and face re-carved. Reader's primary contention, like that of others, is that there is no satisfactory explanation for the weathering of the Sphinx or the proportion of the head than that it predates the 4th Dynasty and was once a different monument. Mainstream Egyptology refuses to consider any of these claims seriously - often for very good reasons - and dismisses them as 'pseudoscience.' Still, the claims continue to be advanced and the evidence the various authors present has not always been refuted, only ignored or ridiculed.",94
"Historian and Egyptologist Antoine Gigal argues in defense of these 'fringe' claims and further asserts that not only is the Sphinx centuries older than the accepted date but there were once two of them. Gigal cites the Dream Stele of Thutmose IV - which clearly shows two sphinxes - and the Inventory Stele which seems to indicate a second sphinx destroyed by a storm. The main pillar of the early Muslim rule and control in the country was the military force, or jund, staffed by the Arab settlers. These were initially the men who had followed Amr and participated in the conquest. The followers of Amr were mostly drawn from Yamani (south Arabian) tribes, rather than the northern Arab (Qays i) tribes, who were scarcely represented in the province; it was they who dominated the country's affairs for the first two centuries of Muslim rule. Initially, they numbered 15,500, but their numbers grew through emigration in the subsequent decades. By the time of Caliph Mu'awiya I (r. 661–680), the number of men registered in the army list (diwān al-jund) and entitled an annual pay (ʿaṭāʾ) reached 40,000. Jealous of their privileges and status, which entitled them to a share of the local revenue, the members of the jund then virtually closed off the register to new entries. It was only after the losses of the Second Fitna that the registers were updated, and occasionally, governors would add soldiers en masse to the lists as a means to garner political support. In return for a very small tribute of money (0.5% Jizya Tax on some free men) and food for the troops, the Christian inhabitants of Egypt were excused from military service and left free in the observance of their religion and the administration of their affairs.",95
"Conversions of Copts to Islam were initially rare, and the old system of taxation was maintained for the greater part of the first Islamic century. The old division of the country into districts (nomoi) was maintained, and to the inhabitants of these districts demands were directly addressed by the governor of Egypt, while the head of the community—ordinarily a Copt but in some cases a Muslim Egyptian—was responsible for compliance with the demand. During the First Fitna, Caliph Ali (r. 656–661) appointed Muhammad ibn Abi Bakr as governor of Egypt, but Amr led an invasion in summer 658 that defeated Ibn Abi Bakr and secured the country for the Umayyads. Amr then served as governor until his death in 664. From 667/8 until 682, the province was governed by another fervent pro-Umayyad partisan, Maslama ibn Mukhallad al-Ansari. During the Second Fitna, Ibn al-Zubayr gained the support of the Kharijites in Egypt and sent a governor of his own, Abd al-Rahman ibn Utba al-Fihri, to the province. The Kharijite-backed Zubayrid regime was very unpopular with the local Arabs, who called upon the Umayyad caliph Marwan I (r. 684–685) for aid. In December 684, Marwan invaded Egypt and reconquered it with relative ease. Marwan installed his son Abd al-Aziz as governor. Relying on his close ties with the jund, Abd al-Aziz ruled the country for 20 years, enjoying wide autonomy and governing as a de facto viceroy. Abd al-Aziz also supervised the completion of the Muslim conquest of North Africa; it was he who appointed Musa ibn Nusayr in his post as governor of Ifriqiya.",96
"Abd al-Aziz hoped to be succeeded by his son, but when he died, Caliph Abd al-Malik ibn Marwan (685–695) sent his own son, Abdallah, as governor in a move to reassert control and prevent the country from becoming a hereditary domain. The Gerzeh culture (""Naqada II""), named after the site of el-Gerzeh, was the next stage in cultural development, and it was during this time that the foundation for ancient Egypt was laid. The Gerzeh culture was largely an unbroken development out of the Amratian, starting in the Nile Delta and moving south through Upper Egypt; however, it failed to dislodge the Amratian in Nubia. The Gerzeh culture coincided with a significant drop in rainfall and farming produced the vast majority of food. With increased food supplies, the populace adopted a much more sedentary lifestyle, and the larger settlements grew to cities of about 5000 residents. It was in this time that the city dwellers started using adobe to build their cities. Copper instead of stone was increasingly used to make tools and weaponry. Silver, gold, lapis lazuli (imported from Badakhshan in what is now Afghanistan), and Egyptian faience were used ornamentally, and the cosmetic palettes used for eye paint since the Badari culture began to be adorned with reliefs. By the 33rd century BC, just before the First Dynasty of Egypt, Egypt was divided into two kingdoms known from later times as Upper Egypt to the south and Lower Egypt to the north. The dividing line was drawn roughly in the area of modern Cairo. The historical records of ancient Egypt begin with Egypt as a unified state, which occurred sometime around 3150 BC. According to Egyptian tradition, Menes, thought to have unified Upper and Lower Egypt, was the first king.",97
"This Egyptian culture, customs, art expression, architecture, and social structure were closely tied to religion, remarkably stable, and changed little over a period of nearly 3000 years. Egyptian chronology, which involves regnal years, began around this time. The conventional chronology was accepted during the twentieth century, but it does not include any of the major revision proposals that also have been made in that time. Even within a single work, archaeologists often offer several possible dates, or even several whole chronologies as possibilities. Consequently, there may be discrepancies between dates shown here and in articles on particular rulers or topics related to ancient Egypt. There also are several possible spellings of the names. Typically, Egyptologists divide the history of pharaonic civilization using a schedule laid out first by Manetho's Aegyptiaca, which was written during the Ptolemaic Kingdom in the third century BC. Prior to the unification of Egypt, the land was settled with autonomous villages. With the early dynasties, and for much of Egypt's history thereafter, the country came to be known as the Two Lands. The pharaohs established a national administration and appointed royal governors. Antony and Cleopatra spent the winter of 32–31 bce in Greece. The Roman Senate deprived Antony of his prospective consulate for the following year, and it then declared war against Cleopatra. The naval Battle of Actium, in which Octavian faced the combined forces of Antony and Cleopatra on September 2, 31 bce, was a disaster for the Egyptians. Antony and Cleopatra fled to Egypt, and Cleopatra retired to her mausoleum as Antony went off to fight his last battle. Receiving the false news that Cleopatra had died, Antony fell on his sword.",98
"In a last excess of devotion, he had himself carried to Cleopatra’s retreat and there died, after bidding her to make her peace with Octavian. Cleopatra buried Antony and then committed suicide. The means of her death is uncertain, though Classical writers came to believe that she had killed herself by means of an asp, symbol of divine royalty. She was 39 and had been a queen for 22 years and Antony’s partner for 11. They were buried together, as both of them had wished, and with them was buried the Roman Republic. From March to April 1919, there were mass demonstrations that became uprisings. This is known in Egypt as the 1919 Revolution. Almost daily demonstrations and unrest continued throughout Egypt for the remainder of the Spring. To the surprise of the British authorities, Egyptian women also demonstrated, led by Huda Sha‘rawi (1879–1947), who would become the leading feminist voice in Egypt in the first half of the twentieth century. The first women's demonstration was held on Sunday, 16 March 1919, and was followed by yet another one on Thursday, 20 March 1919. Egyptian women would continue to play an important and increasingly public nationalist role throughout the spring and summer of 1919 and beyond. Initially, the British authorities deployed the police force in Cairo in response to the demonstrations, though control was soon handed over to Egyptian Expeditionary Force (EEF) troops under the command of Major-General H. D. Watson. By the summer of 1919, the disturbances had largely been suppressed; more than 800 Egyptians had been killed, as well as 31 European civilians and 29 British soldiers. In November 1919, the Milner Commission was sent to Egypt by the British to attempt to resolve the situation.",99
"In 1920, Lord Milner submitted his report to Lord Curzon, the British Foreign Secretary, recommending that the protectorate should be replaced by a treaty of alliance. As a result, Curzon agreed to receive an Egyptian mission headed by Zaghlul and Adli Pasha to discuss the proposals. The mission arrived in London in June 1920 and the agreement was concluded in August 1920. In February 1921, the British Parliament approved the agreement and Egypt was asked to send another mission to London with full powers to conclude a definitive treaty. Adli Pasha led this mission, which arrived in June 1921. However, the Dominion delegates at the 1921 Imperial Conference had stressed the importance of maintaining control over the Suez Canal Zone and Curzon could not persuade his Cabinet colleagues to agree to any terms that Adli Pasha was prepared to accept. The mission returned to Egypt in disgust. In December 1921, the British authorities in Cairo imposed martial law and once again deported Zaghlul. Demonstrations again led to violence. In deference to the growing nationalism and at the suggestion of the High Commissioner, Lord Allenby, the UK unilaterally declared Egyptian independence on 28 February 1922. Sultan Fuad I was subsequently proclaimed King of Egypt. Britain, however, continued to retain a strong influence in the newborn Kingdom of Egypt. British guided the king and retained control of the Canal Zone, Sudan and Egypt's external and military affairs. King Fuad died in 1936 and King Farouk inherited the throne at the age of sixteen. Alarmed by the Second Italo-Abyssinian War when Italy invaded Ethiopia, he signed the Anglo-Egyptian treaty, requiring Britain to withdraw all troops from Egypt by 1949, except at the Suez Canal. During World War II, British troops used Egypt as its primary base for all Allied operations throughout the region.",100
"British troops were withdrawn to the Suez Canal area in 1947, but nationalist, anti-British feelings continued to grow after the war. Around 3100 B.C., a king (later called a pharaoh) united these two lands to be one country, and so historians begin the long history of ancient Egypt here, dividing it into different periods. (They don’t always know the exact date of historical events. So that’s why you’ll see a ""ca"" next to some of the years. It stands for ""circa"" meaning ""around."") Early Dynastic Period, about 525 years (ca 3100 B.C. to ca 2575 B.C. ): These early pharaohs worked to keep the two lands under their control. To do this, they claimed they were being watched over by the falcon god Horus, and so the people of Egypt should respect them. They also used record keeping in the form of hieroglyphic writing to record things like royal decrees and the taxes that the people paid in the form of grain. (A dynasty is a series of rulers from the same family.) Old Kingdom, about 425 years (ca 2575 B.C. to ca 2150 B.C. ): By this time, the pharaohs had enough power and wealth to build pyramids in their honor; that’s why the Old Kingdom is sometimes called the “Age of the Pyramids.” The pharaohs at this time were mostly associated with the sun god Ra, a tradition that would remain for much of Egypt’s history. First Intermediate Period, about 200 years (ca 2130 B.C. to ca 1938 B.C. ): These pharaohs lost power after drought hit Egypt. Instead, local leaders took control of their own communities, and they stopped passing along grain to the central government. Eventually, these local rulers formed independent states. Middle Kingdom, about 300 years (ca 1938 B.C. to ca 1630 B.C.",101
"): Around 1938 B.C., Mentuhotep II reunited the country and began an era known for producing some of Egypt’s greatest pieces of art. For the first time, Egyptians wrote stories for entertainment, and pharaohs started construction of Karnak Temple in the modern-day city of Luxor. He was succeded by Amenmesse (1203-1200 BCE) who was a usurper attempting to take power from the rightful heir Seti II (1203-1197 BCE). Amenmesse was most likely a son of Merenptah but not the chosen successor. Evidence suggests that Amenmesse tried to erase any evidence of Seti II, seized power at Thebes and extended it south through Nubia, and forced his kingship on the court. His date of death is unknown but he vanishes from the record after 1200 BCE while Seti II's reign extend to 1197 BCE. He followed the precepts of Merenptah and initiated his own building projects including improvements/additions to the Temple of Karnak. He was succeeded by Merenptah Siptah (1197-1191 BCE) who came to the throne as a ten year old and died around the age of sixteen. His stepmother Twosret (also known as Tausret, 1191-1190 BCE) reigned with him as regent and succeeded him at his death. Twosret ruled two more years before she died and was succeeded by Setnakhte (1190-1186 BCE) a usurper who founded the 20th Dynasty of Egypt. The evident confusion of rule following the death of Merenptah suggests that the succession of Egyptian kings was broken allowing usurpers to ignore the earlier traditions. This would have been a serious breach of the concept of ma'at (harmony, balance) if it had been tolerated or condoned. Amenmesse was defeated in his attempts but Setnakhte was accepted; suggesting that Setnakhte was not so obviously a usurper and was most likely one of the sons of Seti II.",102
"Setnakhte stabilized the government but records from his reign appear confused. He may have driven off another invasion of the Sea Peoples or could have simply been repeating a story concerning Egypt's past. He was succeeded by Ramesses III (1186-1155 BCE) best known for defeating the Sea Peoples and driving them from the coasts of Egypt for the last time. Ramesses III's inscriptions regarding his battle with the Sea Peoples encourages the claim by some scholars that Setnakhte had fought them previously but this claim is not widely supported. The entire structure, of course, had to be furnished and these articles were supplied by the lower class workers. In its time the palace was known as 'the house of rejoicing' and other similar names. It is known as Malkata today from the Arabic for 'place where things are picked up' owing to the massive debris field found there from the ruined palace. The apartments and homes of scribes, as with those of the nomarchs, were opulent or modest depending on their level of success and the region in which they lived. The author of the Papyrus Lansing, Nebmare Nakht, claimed to live in grand style and to own land and slaves on par with a great king. This claim is no doubt true, too, as it is well established that priests were able to achieve the same level of wealth and power as some rulers in Egypt, and scribes would have had that same opportunity. In ancient Egypt, as in every era of human history, the wealth of one person was often coveted by another who might choose to steal it, and in such cases, Egyptian law was swift.",103
"After the New Kingdom there was a police force, but even before this time, people were brought before the local official and charged with crimes ranging across the spectrum of criminal activity in the modern day. The state did not involve itself in local affairs unless the criminal had robbed or vandalized state property, such as robbing or defacing a tomb. Egyptologist Steven Snape writes: The opportunities for criminal activity provided by the concentration of weatlth and property in towns and sities were seized upon wholeheartedly by some ancient Egyptians, just as they have been within all societies. Equally, significant centres of population and administration provided places where justice could be done and punishments meted out. However, the picture we get from ancient Egypt is that the administration of justice was pushed as far down to local level as possible. Villagers were expected to regulate their own affairs. (111) Since it is considered impossible that Akhenaten would have abandoned the religion he created, it is speculated that it was his coregent who was behind this. The revival of the old religious practices, however, could easily have been a grassroots movement by the people of Egypt who had grown tired of being forced to neglect the traditional faith of the land. The Egyptians held that their actions were intimately tied to celestial balance and that their relationship with the gods was of vital importance. In abandoning the old gods of Egypt, Akhenaten would have thrown the universe out of balance and it is quite likely that the former priests of Amun, and those of other cults, finally decided to try to restore harmony to the land on their own, without consulting their ruler.",104
"Since it is known that Nefertiti was a devotee of Aten prior even to Akhenaten's conversion, and that she regularly took part in religious services, as well as the fact that no images or inscriptions give any evidence that she forsook the cult, it is highly unlikely that she would have led a return to the traditional religious practices of Egypt. The hatred the people had for the new monotheistic religion of their pharaoh is exemplified in its complete eradication after the death of Akhenaten's successor Tutankhamun. Tutankhamun himself, upon taking the throne, abandoned the religion of Aten and returned Egypt to traditional practice. His successor, Ay, (possibly the same man suggested as Nefertiti's father) continued his policies but the last pharaoh of the 18th dynasty, Horemheb, went further than either of them. Horemheb, claiming he had been chosen by the gods to restore the true religion of Egypt, tore down Akhenaten's temples, defaced his stele, and tried to eradicate all evidence that the heretic king and his family had ever ruled Egypt. It is because of Horemheb' s decrees that so little is known of Nefertiti, and other royals linked with the Amarna Period, in the present day. The wonder, really, is not that so little is known but that, considering Horemheb's hatred of Akhenaten's reforms, and his dedication to the mission of erasing the king and his family from history, that modern day scholars have any information on the Amarna Period at all. Nefertiti was the subject of controversy, between Egypt and England, when the British archaeologist, Joann Fletcher, claimed to have found the queen's mummy in 2003 CE. Fletcher's claim was based on details of a mummy, known by Egyptologists as the “Younger Lady”, which she felt matched depictions of Nefertiti.",105
"The Discovery Channel aired Fletcher's theory as though the mummy of the queen had been positively identified when, in fact, this was hardly the case. As a result, Fletcher was banned from working in Egypt because of an alleged breach in protocol which requires all archaeologists working in the country to first report their findings to the Supreme Council of Antiquities before releasing anything to the international press. Although this ban was later lifted, and Fletcher returned to Egypt, the controversy surrounding the mummy is unresolved. Fletcher's supporters claim that the “Younger Lady” is Nefertiti while those who side with Hawass maintain the opposite. The very same details are used by both sides to support their claim and it seems unlikely there will be any resolution until some future discovery is made which lends more weight to one side than the other. This second sphinx would have been located across the River Nile from the one at Giza. Two sphinxes would have certainly been in keeping with Egyptian art and architecture in that the ancient Egyptians greatly valued balance and observed the concept in all aspects of their civilization, often doubling municipal buildings and monuments (such as the practice of always raising two obelisks). Gigal also asserts that there were tunnels beneath these sphinxes which may have connected them. Tunnels have, in fact, been located beneath the Great Sphinx although it has been determined that they do not go anywhere. Mainstream Egyptology bases its conclusions on precedent and evidence; those outside of the accepted view base theirs on the same precepts but lack the kind of training which allows Egyptologists to interpret artifacts within the framework of cultural context.",106
